t,s,v,a,j
0.3450,93.3543,18.5605,-3.9000,0.0000
0.3460,93.3357,18.5566,-3.9000,0.0000
0.3470,93.3172,18.5527,-3.9000,0.0000
0.3480,93.2986,18.5488,-3.9000,0.0000
0.3490,93.2801,18.5449,-3.9000,0.0000
0.3500,93.2616,18.5410,-3.9000,0.0000
0.3510,93.2430,18.5371,-3.9000,0.0000
0.3520,93.2245,18.5332,-3.9000,0.0000
0.3530,93.2060,18.5293,-3.9000,0.0000
0.3540,93.1874,18.5254,-3.9000,0.0000
0.3550,93.1689,18.5215,-3.9000,0.0000
0.3560,93.1504,18.5176,-3.9000,0.0000
0.3570,93.1319,18.5137,-3.9000,0.0000
0.3580,93.1134,18.5098,-3.9000,0.0000
0.3590,93.0949,18.5059,-3.9000,0.0000
0.3600,93.0764,18.5020,-3.9000,0.0000
0.3610,93.0579,18.4981,-3.9000,0.0000
0.3620,93.0394,18.4942,-3.9000,0.0000
0.3630,93.0209,18.4903,-3.9000,0.0000
0.3640,93.0024,18.4864,-3.9000,0.0000
0.3650,92.9839,18.4825,-3.9000,0.0000
0.3660,92.9655,18.4786,-3.9000,0.0000
0.3670,92.9470,18.4747,-3.9000,0.0000
0.3680,92.9285,18.4708,-3.9000,0.0000
0.3690,92.9101,18.4669,-3.9000,0.0000
0.3700,92.8916,18.4630,-3.9000,0.0000
0.3710,92.8731,18.4591,-3.9000,0.0000
0.3720,92.8547,18.4552,-3.9000,0.0000
0.3730,92.8362,18.4513,-3.9000,0.0000
0.3740,92.8178,18.4474,-3.9000,0.0000
0.3750,92.7994,18.4435,-3.9000,0.0000
0.3760,92.7809,18.4396,-3.9000,0.0000
0.3770,92.7625,18.4357,-3.9000,0.0000
0.3780,92.7441,18.4318,-3.9000,0.0000
0.3790,92.7256,18.4279,-3.9000,0.0000
0.3800,92.7072,18.4240,-3.9000,0.0000
0.3810,92.6888,18.4201,-3.9000,0.0000
0.3820,92.6704,18.4162,-3.9000,0.0000
0.3830,92.6520,18.4123,-3.9000,0.0000
0.3840,92.6336,18.4084,-3.9000,0.0000
0.3850,92.6152,18.4045,-3.9000,0.0000
0.3860,92.5968,18.4006,-3.9000,0.0000
0.3870,92.5784,18.3967,-3.9000,0.0000
0.3880,92.5600,18.3928,-3.9000,0.0000
0.3890,92.5416,18.3889,-3.9000,0.0000
0.3900,92.5232,18.3850,-3.9000,0.0000
0.3910,92.5048,18.3811,-3.9000,0.0000
0.3920,92.4864,18.3772,-3.9000,0.0000
0.3930,92.4681,18.3733,-3.9000,0.0000
0.3940,92.4497,18.3694,-3.9000,0.0000
0.3950,92.4313,18.3655,-3.9000,0.0000
0.3960,92.4130,18.3616,-3.9000,0.0000
0.3970,92.3946,18.3577,-3.9000,0.0000
0.3980,92.3763,18.3538,-3.9000,0.0000
0.3990,92.3579,18.3499,-3.9000,0.0000
0.4000,92.3396,18.3460,-3.9000,0.0000
0.4010,92.3212,18.3421,-3.9000,0.0000
0.4020,92.3029,18.3382,-3.9000,0.0000
0.4030,92.2846,18.3343,-3.9000,0.0000
0.4040,92.2662,18.3304,-3.9000,0.0000
0.4050,92.2479,18.3265,-3.9000,0.0000
0.4060,92.2296,18.3226,-3.9000,0.0000
0.4070,92.2113,18.3187,-3.9000,0.0000
0.4080,92.1930,18.3148,-3.9000,0.0000
0.4090,92.1747,18.3109,-3.9000,0.0000
0.4100,92.1564,18.3070,-3.9000,0.0000
0.4110,92.1381,18.3031,-3.9000,0.0000
0.4120,92.1198,18.2992,-3.9000,0.0000
0.4130,92.1015,18.2953,-3.9000,0.0000
0.4140,92.0832,18.2914,-3.9000,0.0000
0.4150,92.0649,18.2875,-3.9000,0.0000
0.4160,92.0466,18.2836,-3.9000,0.0000
0.4170,92.0283,18.2797,-3.9000,0.0000
0.4180,92.0101,18.2758,-3.9000,0.0000
0.4190,91.9918,18.2719,-3.9000,0.0000
0.4200,91.9735,18.2680,-3.9000,0.0000
0.4210,91.9553,18.2641,-3.9000,0.0000
0.4220,91.9370,18.2602,-3.9000,0.0000
0.4230,91.9187,18.2563,-3.9000,0.0000
0.4240,91.9005,18.2524,-3.9000,0.0000
0.4250,91.8822,18.2485,-3.9000,0.0000
0.4260,91.8640,18.2446,-3.9000,0.0000
